Setor; Segmento; Categorias; Ano; Total; Janeiro; Fevereiro; Março; Abril; Maio; Junho; Julho; Agosto; Setembro; Outubro; Novembro; Dezembro
Parque Lage; Trilha; Visitantes; 2013; 10757; 739; 672; 913; 791; 844; 845; 976; 1025; 884; 976; 1083; 1009
Pedra Bonita; Guarita; Visitantes; 2013; 17396; 1000; 1021; 1597; 1958; 1000; 1221; 1988; 2479; 2108; 1000; 1023; 1001
Pedra da Gávea; Trilha; Visitantes; 2013; 18924; 791; 1725; 889; 1618; 1991; 844; 1402; 2122; 2168; 1681; 2085; 1608
Setor Floresta; Floresta da Tijuca; Visitantes; 2013; 347541; 26874; 46206; 27821; 21389; 25752; 20982; 37412; 26366; 25884; 32008; 29851; 26996
Vista Chinesa; Macacos; Visitantes; 2013; 162643; 15909; 4165; 12845; 16072; 12908; 12877; 14577; 13878; 13957; 15456; 16451; 13548
Total; ; ; 2014; 3113913; 384069; 231253; 267494; 251170; 186308; 287189; 291598; 230668; 211527; 248076; 246590; 277971
Corcovado; Ferroviário; Gratuidades; 2014; 15232; ; ; ; 692; 1640; 1556; 903; 3413; 2944; 3039; 744; 301
Corcovado; Ferroviário; Guias; 2014; 11365; ; ; ; 786; 889; 1317; 1133; 1258; 1110; 1382; 1716; 1774
Corcovado; Ferroviário; Pagantes; 2014; 866510; 108946; 77133; 75740; 60122; 55165; 69541; 81885; 66472; 61377; 67933; 69022; 73174
Corcovado; Rodoviário; Gratuidades; 2014; 148564; 18180; 8267; 7979; 8330; 6565; 7837; 16901; 8918; 15003; 16354; 14639; 19591
Corcovado; Rodoviário; Guias; 2014; 34180; 3634; 3267; 3321; 3830; 2081; 2764; 2536; 2180; 2164; 2545; 2876; 2982
Corcovado; Rodoviário; Pagantes; 2014; 1236978; 151865; 93310; 107280; 87640; 66769; 136746; 124888; 86386; 78564; 94345; 93285; 115900
Parque Lage; Trilha; Visitantes; 2014; 19708; 1479; 1137; 1234; 1226; 1304; 2995; 2577; 1832; 1357; 1388; 1617; 1562
Pedra Bonita; Guarita; Visitantes; 2014; 73120; 5808; 5736; 7766; 6036; 5687; 6364; 5985; 5723; 5510; 4415; 10934; 3156
Pedra da Gávea; Trilha; Visitantes; 2014; 30663; 3215; 1766; 1729; 2591; 1645; 2436; 2610; 2652; 2834; 1952; 3044; 4189
Setor Floresta; Floresta da Tijuca; Visitantes; 2014; 406211; 41846; 25710; 41620; 35170; 29199; 37013; 30591; 36364; 30027; 32731; 32237; 33703
Vista Chinesa; Macacos; Visitantes; 2014; 271382; 49096; 14927; 20825; 44747; 15364; 18620; 21589; 15470; 10637; 21992; 16476; 21639
Total; ; ; 2015; 2965908; 399512; 269568; 233905; 258871; 224234; 198485; 263432; 244143; 200131; 211042; 205090; 257495
Corcovado; Ferroviário; Gratuidades; 2015; 5923; 181; 158; 112; 252; 1803; 310; 346; 830; 586; 458; 327; 560
Corcovado; Ferroviário; Guias; 2015; 18164; 2036; 2094; 1905; 1418; ; 1175; 1239; 1595; 1328; 1723; 1721; 1930
Corcovado; Ferroviário; Pagantes; 2015; 808821; 99024; 70250; 66774; 64851; 57448; 50463; 72134; 70962; 58235; 64517; 60447; 73716
Corcovado; Rodoviário; Gratuidades; 2015; 136898; 27568; 8833; 8711; 10764; 9579; 14278; 18229; 10020; 7706; 9891; 6215; 5098
Corcovado; Rodoviário; Guias; 2015; 34846; 3858; 2924; 3175; 2611; 2420; 2173; 2947; 2668; 2580; 3139; 2900; 3451
Corcovado; Rodoviário; Pagantes; 2015; 1180689; 164240; 103621; 99212; 95308; 90263; 74275; 107293; 91836; 82467; 84756; 73654; 113764
Estrada Redentor; Sapucaia; Visitantes; 2015; 160569; 13734; 8744; 10695; 13129; 13241; 14586; 16254; 14195; 13026; 13912; 13948; 15105
Parque Lage; Trilha; Visitantes; 2015; 24613; 2033; 1317; 1584; 2216; 1857; 1738; 2292; 3817; 1550; 1783; 1936; 2490
Pedra Bonita; Guarita; Visitantes; 2015; 73235; 5922; 21491; 3423; 26063; 5401; 4195; 4191; ; 2549; ; ; 
Pedra da Gávea; Trilha; Visitantes; 2015; 8429; 1864; 1021; ; ; 1647; 1736; 2161; ; ; ; ; 
Setor Floresta; Floresta da Tijuca; Visitantes; 2015; 399430; 51999; 34995; 31636; 35954; 30641; 23821; 27393; 40404; 23078; 24716; 35554; 39239
Vista Chinesa; Macacos; Visitantes; 2015; 114297; 27053; 14120; 6678; 6305; 9934; 9735; 8953; 7816; 7026; 6147; 8388; 2142
Total; ; ; 2016; 3357403; 383220; 364480; 294312; 267852; 235082; 193876; 288387; 315711; 238664; 240695; 245624; 286500
Corcovado; Ferroviário; Gratuidades; 2016; 4712; 347; 200; 297; 341; 376; 509; 514; 483; 202; 438; 441; 564
Corcovado; Ferroviário; Guias; 2016; 17116; 2147; 2233; 1876; 1483; 1092; 786; 893; 1382; 1082; 1340; 1346; 1456
Corcovado; Ferroviário; Pagantes; 2016; 759418; 89479; 77858; 69468; 62386; 49673; 38429; 62184; 77877; 53344; 59884; 52167; 66669
Corcovado; Rodoviário; Gratuidades; 2016; 126368; 8262; 6622; 5806; 5073; 3773; 13623; 18139; 13768; 8700; 12822; 12518; 17262
Corcovado; Rodoviário; Guias; 2016; 34577; 4564; 3959; 3360; 2300; 2058; 1872; 2533; 2659; 2315; 2627; 2680; 3650
